age,gender,school_type,parent_education,family_income,study_hours_per_day,attendance_percent,prev_gpa,assignments_completed,extracurricular_activities,internet_access,tutoring_sessions,absences,sleep_hours,final_score,grade,pass_fail,study_efficiency,attendance_risk,parental_support_index,academic_momentum,absence_severity,sleep_quality,total_support
15,Male,Private,High School,Low,3.77,78.7,6.46,16.0,5,1,1,4.0,8.3,78.1,B,Pass,4.134366925064599,0,1,5.084020000000001,1,1,5
16,Female,Public,No Education,Middle,5.45,100.0,8.8,19.0,5,1,1,0.0,7.0,100.0,A,Pass,3.4234234234234235,0,1,8.8,0,1,5
18,Male,Public,High School,Low,4.38,46.1,8.45,19.0,3,1,6,25.0,6.9,78.3,B,Pass,4.241071428571429,1,1,3.8954499999999994,3,0,10
16,Male,Public,High School,Low,2.88,83.4,4.56,14.0,4,1,3,3.0,7.1,75.3,B,Pass,4.697986577181208,0,1,3.8030399999999998,1,1,7
15,Male,Public,Graduate,Low,3.89,74.4,5.29,11.0,2,1,5,11.0,6.9,75.4,B,Pass,2.756892230576441,1,2,3.93576,2,0,10
16,Female,Private,Graduate,Low,3.14,82.4,8.22,13.0,1,1,7,4.0,8.2,100.0,A,Pass,4.012345679012346,0,2,6.773280000000001,1,1,12
15,Male,Private,High School,High,3.51,65.2,3.0,15.0,4,1,3,9.0,6.3,52.3,D,Pass,4.1551246537396125,1,3,1.9560000000000002,2,0,9
16,Male,Public,High School,Low,3.01,72.8,6.23,8.0,2,1,2,4.0,7.5,66.7,C,Pass,2.572347266881029,1,1,4.53544,1,1,6
15,Male,Public,Postgraduate,High,3.25,84.9,3.92,18.0,3,0,1,0.0,5.6,81.5,B,Pass,5.3731343283582085,0,5,3.32808,0,0,6
15,Female,Private,Graduate,High,3.82,100.0,5.64,15.0,5,0,3,4.0,7.9,97.3,A,Pass,3.826530612244898,0,4,5.64,1,1,7
15,Male,Public,Graduate,Middle,2.01,82.7,5.96,14.0,3,1,1,0.0,6.6,83.8,B,Pass,6.6350710900473935,0,3,4.92892,0,0,7
18,Male,Public,High School,Low,1.98,57.7,5.86,17.0,2,0,0,15.0,7.0,52.6,D,Pass,8.173076923076923,1,1,3.3812200000000003,3,1,1
16,Male,Public,Graduate,Middle,1.42,62.4,5.51,10.0,3,1,3,12.0,6.6,50.2,D,Pass,6.578947368421052,1,3,3.4382399999999995,2,0,9
16,Male,Private,No Education,Middle,1.1,61.0,4.53,13.0,2,0,2,15.0,6.7,39.3,F,Fail,10.833333333333332,1,1,2.7633000000000005,3,0,3
16,Female,Private,Graduate,Middle,1.67,42.6,10.0,12.0,2,1,6,14.0,5.8,86.4,B,Pass,6.779661016949152,1,3,4.26,3,0,12
15,Male,Public,Postgraduate,Low,3.74,70.8,9.86,14.0,3,1,3,14.0,7.4,100.0,A,Pass,3.645833333333333,1,3,6.98088,3,1,9
16,Female,Public,High School,Middle,2.16,82.0,4.41,11.0,0,1,1,5.0,7.7,57.2,D,Pass,4.867256637168141,0,2,3.6162,1,1,6
16,Female,Private,No Education,High,4.27,58.2,9.35,20.0,1,1,4,25.0,5.4,100.0,A,Pass,4.576659038901603,1,2,5.4417,3,0,9
15,Female,Private,No Education,Middle,3.55,90.9,5.78,13.0,4,1,4,0.0,6.3,95.5,A,Pass,3.5616438356164384,0,1,5.254020000000001,0,0,8
17,Male,Public,High School,Low,0.55,73.5,6.73,13.0,5,1,6,20.0,7.0,67.4,C,Pass,20.0,1,1,4.94655,3,1,10
15,Female,Private,High School,Middle,4.48,66.9,6.39,10.0,1,0,6,9.0,6.3,76.8,B,Pass,2.1834061135371177,1,2,4.27491,2,0,8
16,Male,Public,No Education,Low,4.72,76.5,5.31,19.0,4,1,5,8.0,6.7,89.7,B,Pass,3.9419087136929467,0,0,4.06215,2,0,8
15,Female,Public,Graduate,Low,2.01,94.5,8.27,16.0,4,1,6,0.0,8.9,100.0,A,Pass,7.5829383886255926,0,2,7.81515,0,1,11
17,Female,Private,Graduate,High,4.13,87.9,6.73,16.0,5,0,1,0.0,5.8,100.0,A,Pass,3.782505910165485,0,4,5.915670000000001,0,0,5
15,Female,Public,High School,Low,2.22,71.3,5.64,12.0,1,1,7,6.0,4.2,72.4,C,Pass,5.1724137931034475,1,1,4.021319999999999,1,0,11
16,Female,Public,Postgraduate,Low,3.65,71.9,4.15,16.0,5,0,0,7.0,6.3,59.8,D,Pass,4.266666666666667,1,3,2.9838500000000003,2,0,3
17,Female,Public,High School,Low,1.6,70.5,4.89,19.0,2,1,3,10.0,6.6,72.4,C,Pass,11.176470588235293,1,1,3.44745,2,0,7
18,Female,Public,Postgraduate,High,0.81,59.3,3.55,6.0,5,1,6,18.0,6.4,30.7,F,Fail,6.593406593406593,1,5,2.10515,3,0,14
16,Female,Private,High School,Middle,2.93,41.7,6.52,16.0,3,1,4,18.0,7.3,62.9,C,Pass,5.2805280528052805,1,2,2.71884,3,1,9
17,Female,Public,Postgraduate,Middle,3.31,99.4,4.35,12.0,0,0,0,1.0,5.8,72.6,C,Pass,3.5190615835777126,0,4,4.3239,0,0,4
17,Male,Private,Graduate,Middle,2.9,75.5,6.02,14.0,0,1,7,9.0,5.6,91.1,A,Pass,4.666666666666667,0,3,4.5451,2,0,13
18,Male,Public,Graduate,Low,1.72,75.6,8.97,12.0,0,1,1,0.0,6.2,100.0,A,Pass,6.593406593406593,0,2,6.781319999999999,0,0,6
15,Female,Public,Postgraduate,Middle,2.9,72.3,8.66,12.0,1,1,0,0.0,6.2,100.0,A,Pass,4.0,1,4,6.2611799999999995,0,0,7
15,Female,Public,High School,Middle,3.9,65.2,6.44,15.0,1,1,1,3.0,9.5,86.1,B,Pass,3.75,1,2,4.19888,1,0,6
16,Female,Private,Postgraduate,Low,3.43,72.0,6.34,11.0,2,1,7,7.0,8.9,86.8,B,Pass,3.1161473087818696,1,3,4.5648,2,1,13
18,Male,Public,High School,Middle,3.77,51.8,9.88,18.0,0,0,7,5.0,5.0,93.4,A,Pass,4.651162790697675,1,2,5.11784,1,0,9
15,Female,Private,High School,High,2.49,97.0,7.44,8.0,2,1,5,0.0,4.7,92.7,A,Pass,3.0888030888030884,0,3,7.216800000000001,0,0,11
18,Male,Public,High School,Low,5.26,61.8,5.91,18.0,0,0,3,5.0,6.9,88.3,B,Pass,3.3582089552238807,1,1,3.65238,1,0,4
15,Male,Private,Graduate,Low,1.74,54.2,3.93,11.0,1,0,0,16.0,9.3,24.8,F,Fail,5.978260869565217,1,2,2.1300600000000003,3,0,2
17,Male,Public,High School,Low,4.23,70.6,7.21,12.0,3,1,7,11.0,7.8,91.9,A,Pass,2.771362586605081,1,1,5.09026,2,1,11
15,Male,Private,Graduate,Low,5.27,99.6,7.99,17.0,3,0,3,0.0,7.0,100.0,A,Pass,3.1657355679702053,0,2,7.95804,0,1,5
18,Male,Private,Graduate,High,4.22,77.4,5.36,11.0,3,1,0,0.0,6.5,87.4,B,Pass,2.5462962962962967,0,4,4.14864,0,0,7
17,Female,Private,Graduate,Middle,3.2,55.5,7.02,14.0,5,1,1,12.0,8.3,67.8,C,Pass,4.242424242424242,1,3,3.8960999999999997,2,1,7
17,Female,Private,Graduate,Middle,2.71,91.4,5.85,9.0,3,1,7,4.0,7.2,93.7,A,Pass,3.202846975088968,0,3,5.346900000000001,1,1,13
17,Female,Private,High School,Middle,5.05,90.6,6.17,18.0,4,1,1,7.0,9.1,100.0,A,Pass,3.4951456310679614,0,2,5.590019999999999,2,0,6
18,Female,Public,High School,Low,1.37,76.7,3.0,9.0,0,1,0,16.0,5.0,12.9,F,Fail,6.1224489795918355,0,1,2.301,3,0,4
16,Female,Public,High School,Middle,2.04,81.4,6.1,11.0,3,1,5,11.0,7.5,74.0,C,Pass,5.14018691588785,0,2,4.9654,2,1,10
16,Male,Public,High School,Middle,2.9,98.2,8.24,15.0,4,1,1,1.0,6.3,100.0,A,Pass,5.0,0,2,8.09168,0,0,6
16,Female,Private,No Education,Middle,5.36,100.0,5.36,14.0,4,1,2,0.0,7.5,100.0,A,Pass,2.5641025641025643,0,1,5.36,0,1,6
18,Female,Public,High School,High,4.07,66.4,6.59,15.0,4,1,2,6.0,7.3,80.2,B,Pass,3.597122302158273,1,3,4.3757600000000005,1,1,8
17,Male,Private,High School,Middle,2.05,95.0,5.14,8.0,2,1,3,8.0,7.6,67.9,C,Pass,3.7209302325581395,0,2,4.882999999999999,2,1,8
16,Female,Public,Postgraduate,Middle,3.03,79.4,7.15,16.0,2,1,6,7.0,8.2,100.0,A,Pass,5.111821086261981,0,4,5.6771,2,1,13
18,Male,Public,Graduate,High,2.58,79.7,6.11,19.0,4,1,2,9.0,8.7,100.0,A,Pass,7.08955223880597,0,4,4.86967,2,1,9
16,Female,Public,High School,Low,2.44,46.4,4.81,20.0,5,1,2,13.0,9.3,51.0,D,Pass,7.874015748031496,1,1,2.2318399999999996,3,0,6
15,Male,Private,Graduate,Low,4.97,76.8,8.9,17.0,3,0,5,1.0,7.0,100.0,A,Pass,3.3530571992110456,0,2,6.8351999999999995,0,1,7
16,Female,Public,High School,Low,1.44,56.6,8.17,14.0,0,0,5,11.0,6.3,72.4,C,Pass,9.09090909090909,1,1,4.62422,2,0,6
16,Female,Public,High School,Middle,5.91,94.7,5.41,12.0,5,0,6,0.0,5.5,100.0,A,Pass,1.9966722129783694,0,2,5.12327,0,0,8
17,Male,Public,Graduate,Middle,4.74,94.8,7.4,20.0,1,0,4,3.0,7.5,100.0,A,Pass,4.132231404958678,0,3,7.0152,1,1,7
18,Male,Public,Graduate,Middle,5.14,48.8,7.47,19.0,2,0,6,12.0,8.0,98.4,A,Pass,3.625954198473283,1,3,3.6453599999999993,2,1,9
17,Male,Public,High School,High,2.81,72.6,7.66,12.0,3,1,4,8.0,5.4,90.0,A,Pass,4.123711340206185,1,3,5.56116,2,0,10
17,Male,Public,Postgraduate,Middle,3.28,91.2,3.45,18.0,3,1,5,9.0,8.4,82.9,B,Pass,5.325443786982249,0,4,3.1464000000000003,2,1,12
17,Male,Private,Postgraduate,Middle,1.35,65.8,8.31,11.0,1,1,4,2.0,6.9,95.9,A,Pass,7.586206896551723,1,4,5.46798,0,0,11
17,Male,Public,Graduate,Low,2.71,83.6,5.47,12.0,1,0,5,0.0,5.5,77.2,B,Pass,4.270462633451957,0,2,4.57292,0,0,7
17,Male,Public,Graduate,Low,4.24,82.5,5.86,17.0,3,1,4,11.0,6.0,85.8,B,Pass,3.9170506912442398,0,2,4.8345,2,0,9
16,Male,Public,Graduate,Middle,5.44,86.0,10.0,14.0,1,1,1,0.0,5.9,100.0,A,Pass,2.527075812274368,0,3,8.6,0,0,7
17,Female,Public,High School,Middle,1.84,65.9,7.04,16.0,3,1,5,8.0,5.9,96.9,A,Pass,8.24742268041237,1,2,4.63936,2,0,10
17,Female,Public,High School,High,2.95,55.1,5.8,11.0,5,1,6,17.0,7.7,74.0,C,Pass,3.60655737704918,1,3,3.1957999999999998,3,1,12
18,Male,Public,No Education,Low,3.27,57.5,3.0,11.0,1,1,3,12.0,8.0,37.0,F,Fail,3.264094955489614,1,0,1.725,2,1,6
15,Female,Public,Graduate,Low,1.41,79.4,9.0,9.0,5,1,3,6.0,9.0,95.2,A,Pass,5.960264900662252,0,2,7.146,1,1,8
16,Female,Public,Graduate,Middle,4.39,78.0,4.08,18.0,5,1,5,7.0,6.2,84.9,B,Pass,4.00890868596882,0,3,3.1824,2,0,11
16,Female,Private,High School,Low,2.41,69.7,4.69,11.0,1,0,2,22.0,7.4,36.4,F,Fail,4.382470119521912,1,1,3.26893,3,1,3
16,Female,Private,Postgraduate,Low,3.21,67.8,5.9,10.0,3,1,7,19.0,6.2,65.1,C,Pass,3.0211480362537766,1,3,4.0001999999999995,3,0,13
17,Male,Private,Postgraduate,Middle,2.82,68.4,9.05,12.0,4,0,3,6.0,7.0,100.0,A,Pass,4.109589041095891,1,4,6.190200000000001,1,1,7
17,Female,Public,Graduate,Low,2.32,87.2,7.89,13.0,3,1,6,9.0,5.2,100.0,A,Pass,5.371900826446281,0,2,6.88008,2,0,11
17,Male,Public,Graduate,Middle,3.49,69.9,6.22,11.0,0,1,2,12.0,5.7,83.4,B,Pass,3.064066852367688,1,3,4.34778,2,0,8
18,Female,Public,Postgraduate,Low,3.18,53.9,7.05,11.0,1,1,3,14.0,8.0,70.5,C,Pass,3.3536585365853657,1,3,3.79995,3,1,9
15,Female,Public,High School,Low,2.94,84.5,5.42,20.0,2,0,7,0.0,5.2,100.0,A,Pass,6.578947368421052,0,1,4.5799,0,0,8
17,Female,Private,Graduate,Middle,2.41,68.6,6.75,11.0,1,0,0,12.0,7.7,63.9,C,Pass,4.382470119521912,1,3,4.6305,2,1,3
15,Male,Public,High School,High,3.98,76.9,6.63,14.0,0,0,0,5.0,6.2,84.5,B,Pass,3.4313725490196076,0,3,5.098470000000001,1,0,3
18,Female,Public,Graduate,Middle,5.98,100.0,8.24,16.0,5,0,5,0.0,4.7,100.0,A,Pass,2.6315789473684212,0,3,8.24,0,0,8
16,Male,Public,High School,Middle,3.71,75.3,8.24,13.0,2,0,7,4.0,4.0,100.0,A,Pass,3.4120734908136483,0,2,6.20472,1,0,9
