student_id,age,gender,school_type,parent_education,family_income,study_hours_per_day,attendance_percent,prev_gpa,assignments_completed,extracurricular_activities,internet_access,tutoring_sessions,absences,sleep_hours,final_score,grade,pass_fail
STU0001,15,Male,Private,High School,Low,3.77,78.7,6.46,16,5,1,1,4,8.3,78.1,B,Pass
STU0002,16,Female,Public,No Education,Middle,5.45,100.0,8.8,19,5,1,1,0,7.0,100.0,A,Pass
STU0003,18,Male,Public,High School,Low,4.38,46.1,8.45,19,3,1,6,25,6.9,78.3,B,Pass
STU0004,16,Male,Public,High School,Low,2.88,83.4,4.56,14,4,1,3,3,7.1,75.3,B,Pass
STU0005,15,Male,Public,Graduate,Low,3.89,74.4,5.29,11,2,1,5,11,6.9,75.4,B,Pass
STU0006,16,Female,Private,Graduate,Low,3.14,82.4,8.22,13,1,1,7,4,8.2,100.0,A,Pass
STU0007,15,Male,Private,High School,High,3.51,65.2,3.0,15,4,1,3,9,6.3,52.3,D,Pass
STU0008,16,Male,Public,High School,Low,3.01,72.8,6.23,8,2,1,2,4,7.5,66.7,C,Pass
STU0009,15,Male,Public,Postgraduate,High,3.25,84.9,3.92,18,3,0,1,0,5.6,81.5,B,Pass
STU0010,15,Female,Private,Graduate,High,3.82,100.0,5.64,15,5,0,3,4,7.9,97.3,A,Pass
STU0011,15,Male,Public,Graduate,Middle,2.01,82.7,5.96,14,3,1,1,0,6.6,83.8,B,Pass
STU0012,18,Male,Public,High School,Low,1.98,57.7,5.86,17,2,0,0,15,7.0,52.6,D,Pass
STU0013,16,Male,Public,Graduate,Middle,1.42,62.4,5.51,10,3,1,3,12,6.6,50.2,D,Pass
STU0014,16,Male,Private,No Education,Middle,1.1,61.0,4.53,13,2,0,2,15,6.7,39.3,F,Fail
STU0015,16,Female,Private,Graduate,Middle,1.67,42.6,10.0,12,2,1,6,14,5.8,86.4,B,Pass
STU0016,15,Male,Public,Postgraduate,Low,3.74,70.8,9.86,14,3,1,3,14,7.4,100.0,A,Pass
STU0017,16,Female,Public,High School,Middle,2.16,82.0,4.41,11,0,1,1,5,7.7,57.2,D,Pass
STU0018,16,Female,Private,No Education,High,4.27,58.2,9.35,20,1,1,4,25,5.4,100.0,A,Pass
STU0019,15,Female,Private,No Education,Middle,3.55,90.9,5.78,13,4,1,4,0,6.3,95.5,A,Pass
STU0020,17,Male,Public,High School,Low,0.55,73.5,6.73,13,5,1,6,20,7.0,67.4,C,Pass
STU0021,15,Female,Private,High School,Middle,4.48,66.9,6.39,10,1,0,6,9,6.3,76.8,B,Pass
STU0022,16,Male,Public,No Education,Low,4.72,76.5,5.31,19,4,1,5,8,6.7,89.7,B,Pass
STU0023,15,Female,Public,Graduate,Low,2.01,94.5,8.27,16,4,1,6,0,8.9,100.0,A,Pass
STU0024,17,Female,Private,Graduate,High,4.13,87.9,6.73,16,5,0,1,0,5.8,100.0,A,Pass
STU0025,15,Female,Public,High School,Low,2.22,71.3,5.64,12,1,1,7,6,4.2,72.4,C,Pass
STU0026,16,Female,Public,Postgraduate,Low,3.65,71.9,4.15,16,5,0,0,7,6.3,59.8,D,Pass
STU0027,17,Female,Public,High School,Low,1.6,70.5,4.89,19,2,1,3,10,6.6,72.4,C,Pass
STU0028,18,Female,Public,Postgraduate,High,0.81,59.3,3.55,6,5,1,6,18,6.4,30.7,F,Fail
STU0029,16,Female,Private,High School,Middle,2.93,41.7,6.52,16,3,1,4,18,7.3,62.9,C,Pass
STU0030,17,Female,Public,Postgraduate,Middle,3.31,99.4,4.35,12,0,0,0,1,5.8,72.6,C,Pass
STU0031,17,Male,Private,Graduate,Middle,2.9,75.5,6.02,14,0,1,7,9,5.6,91.1,A,Pass
STU0032,18,Male,Public,Graduate,Low,1.72,75.6,8.97,12,0,1,1,0,6.2,100.0,A,Pass
STU0033,15,Female,Public,Postgraduate,Middle,2.9,72.3,8.66,12,1,1,0,0,6.2,100.0,A,Pass
STU0034,15,Female,Public,High School,Middle,3.9,65.2,6.44,15,1,1,1,3,9.5,86.1,B,Pass
STU0035,16,Female,Private,Postgraduate,Low,3.43,72.0,6.34,11,2,1,7,7,8.9,86.8,B,Pass
STU0036,18,Male,Public,High School,Middle,3.77,51.8,9.88,18,0,0,7,5,5.0,93.4,A,Pass
STU0037,15,Female,Private,High School,High,2.49,97.0,7.44,8,2,1,5,0,4.7,92.7,A,Pass
STU0038,18,Male,Public,High School,Low,5.26,61.8,5.91,18,0,0,3,5,6.9,88.3,B,Pass
STU0039,15,Male,Private,Graduate,Low,1.74,54.2,3.93,11,1,0,0,16,9.3,24.8,F,Fail
STU0040,17,Male,Public,High School,Low,4.23,70.6,7.21,12,3,1,7,11,7.8,91.9,A,Pass
STU0041,15,Male,Private,Graduate,Low,5.27,99.6,7.99,17,3,0,3,0,7.0,100.0,A,Pass
STU0042,18,Male,Private,Graduate,High,4.22,77.4,5.36,11,3,1,0,0,6.5,87.4,B,Pass
STU0043,17,Female,Private,Graduate,Middle,3.2,55.5,7.02,14,5,1,1,12,8.3,67.8,C,Pass
STU0044,17,Female,Private,Graduate,Middle,2.71,91.4,5.85,9,3,1,7,4,7.2,93.7,A,Pass
STU0045,17,Female,Private,High School,Middle,5.05,90.6,6.17,18,4,1,1,7,9.1,100.0,A,Pass
STU0046,18,Female,Public,High School,Low,1.37,76.7,3.0,9,0,1,0,16,5.0,12.9,F,Fail
STU0047,16,Female,Public,High School,Middle,2.04,81.4,6.1,11,3,1,5,11,7.5,74.0,C,Pass
STU0048,16,Male,Public,High School,Middle,2.9,98.2,8.24,15,4,1,1,1,6.3,100.0,A,Pass
STU0049,16,Female,Private,No Education,Middle,5.36,100.0,5.36,14,4,1,2,0,7.5,100.0,A,Pass
STU0050,18,Female,Public,High School,High,4.07,66.4,6.59,15,4,1,2,6,7.3,80.2,B,Pass
STU0051,17,Male,Private,High School,Middle,2.05,95.0,5.14,8,2,1,3,8,7.6,67.9,C,Pass
STU0052,16,Female,Public,Postgraduate,Middle,3.03,79.4,7.15,16,2,1,6,7,8.2,100.0,A,Pass
STU0053,18,Male,Public,Graduate,High,2.58,79.7,6.11,19,4,1,2,9,8.7,100.0,A,Pass
STU0054,16,Female,Public,High School,Low,2.44,46.4,4.81,20,5,1,2,13,9.3,51.0,D,Pass
STU0055,15,Male,Private,Graduate,Low,4.97,76.8,8.9,17,3,0,5,1,7.0,100.0,A,Pass
STU0056,16,Female,Public,High School,Low,1.44,56.6,8.17,14,0,0,5,11,6.3,72.4,C,Pass
STU0057,16,Female,Public,High School,Middle,5.91,94.7,5.41,12,5,0,6,0,5.5,100.0,A,Pass
STU0058,17,Male,Public,Graduate,Middle,4.74,94.8,7.4,20,1,0,4,3,7.5,100.0,A,Pass
STU0059,18,Male,Public,Graduate,Middle,5.14,48.8,7.47,19,2,0,6,12,8.0,98.4,A,Pass
STU0060,17,Male,Public,High School,High,2.81,72.6,7.66,12,3,1,4,8,5.4,90.0,A,Pass
STU0061,17,Male,Public,Postgraduate,Middle,3.28,91.2,3.45,18,3,1,5,9,8.4,82.9,B,Pass
STU0062,17,Male,Private,Postgraduate,Middle,1.35,65.8,8.31,11,1,1,4,2,6.9,95.9,A,Pass
STU0063,17,Male,Public,Graduate,Low,2.71,83.6,5.47,12,1,0,5,0,5.5,77.2,B,Pass
STU0064,17,Male,Public,Graduate,Low,4.24,82.5,5.86,17,3,1,4,11,6.0,85.8,B,Pass
STU0065,16,Male,Public,Graduate,Middle,5.44,86.0,10.0,14,1,1,1,0,5.9,100.0,A,Pass
STU0066,17,Female,Public,High School,Middle,1.84,65.9,7.04,16,3,1,5,8,5.9,96.9,A,Pass
STU0067,17,Female,Public,High School,High,2.95,55.1,5.8,11,5,1,6,17,7.7,74.0,C,Pass
STU0068,18,Male,Public,No Education,Low,3.27,57.5,3.0,11,1,1,3,12,8.0,37.0,F,Fail
STU0069,15,Female,Public,Graduate,Low,1.41,79.4,9.0,9,5,1,3,6,9.0,95.2,A,Pass
STU0070,16,Female,Public,Graduate,Middle,4.39,78.0,4.08,18,5,1,5,7,6.2,84.9,B,Pass
STU0071,16,Female,Private,High School,Low,2.41,69.7,4.69,11,1,0,2,22,7.4,36.4,F,Fail
STU0072,16,Female,Private,Postgraduate,Low,3.21,67.8,5.9,10,3,1,7,19,6.2,65.1,C,Pass
STU0073,17,Male,Private,Postgraduate,Middle,2.82,68.4,9.05,12,4,0,3,6,7.0,100.0,A,Pass
STU0074,17,Female,Public,Graduate,Low,2.32,87.2,7.89,13,3,1,6,9,5.2,100.0,A,Pass
STU0075,17,Male,Public,Graduate,Middle,3.49,69.9,6.22,11,0,1,2,12,5.7,83.4,B,Pass
STU0076,18,Female,Public,Postgraduate,Low,3.18,53.9,7.05,11,1,1,3,14,8.0,70.5,C,Pass
STU0077,15,Female,Public,High School,Low,2.94,84.5,5.42,20,2,0,7,0,5.2,100.0,A,Pass
STU0078,17,Female,Private,Graduate,Middle,2.41,68.6,6.75,11,1,0,0,12,7.7,63.9,C,Pass
STU0079,15,Male,Public,High School,High,3.98,76.9,6.63,14,0,0,0,5,6.2,84.5,B,Pass
STU0080,18,Female,Public,Graduate,Middle,5.98,100.0,8.24,16,5,0,5,0,4.7,100.0,A,Pass
STU0081,16,Male,Public,High School,Middle,3.71,75.3,8.24,13,2,0,7,4,4.0,100.0,A,Pass
STU0082,17,Female,Private,Postgraduate,Low,4.99,83.8,7.39,18,2,0,6,10,8.8,100.0,A,Pass
STU0083,15,Male,Public,Postgraduate,Middle,1.41,51.1,5.85,15,3,0,6,11,4.7,63.7,C,Pass
STU0084,15,Female,Public,High School,Low,3.74,72.4,7.84,14,4,1,3,4,6.9,86.0,B,Pass
STU0085,17,Male,Public,Graduate,Middle,1.85,79.2,6.33,9,3,1,1,10,7.4,62.9,C,Pass
STU0086,16,Male,Public,Postgraduate,Middle,1.28,45.0,4.55,16,2,0,2,16,5.4,40.8,F,Fail
STU0087,16,Female,Public,Graduate,High,2.39,74.7,5.77,13,2,1,7,7,6.3,81.9,B,Pass
STU0088,16,Male,Public,Postgraduate,Middle,5.29,81.9,6.65,20,4,1,3,11,7.6,100.0,A,Pass
STU0089,18,Female,Public,Graduate,Low,4.93,79.9,8.14,9,1,1,5,13,7.4,87.5,B,Pass
STU0090,15,Female,Public,High School,Low,3.86,91.7,6.17,16,4,1,7,0,6.4,100.0,A,Pass
STU0091,15,Female,Public,High School,High,1.2,73.1,4.32,17,5,1,2,7,7.3,70.3,C,Pass
STU0092,15,Female,Public,High School,Middle,3.21,96.3,6.6,13,3,1,4,0,6.9,93.4,A,Pass
STU0093,18,Female,Public,Graduate,Middle,3.95,61.5,6.7,14,1,1,5,10,5.8,93.5,A,Pass
STU0094,15,Female,Private,High School,Low,3.76,77.8,6.83,16,3,1,3,7,8.4,99.3,A,Pass
STU0095,18,Female,Private,Graduate,Middle,0.73,68.0,8.16,10,4,1,1,8,7.2,84.9,B,Pass
STU0096,16,Female,Public,Graduate,Low,2.16,55.0,8.33,12,1,1,7,8,4.8,94.3,A,Pass
STU0097,17,Female,Public,Graduate,High,3.4,89.1,5.43,13,4,1,4,0,7.6,100.0,A,Pass
STU0098,15,Female,Public,Postgraduate,Middle,4.3,100.0,5.39,14,5,1,5,4,6.3,100.0,A,Pass
